Symbol	Description
0167.HK	IDT International Ltd
0168.HK	Tsingtao Brewery Co. Ltd
0169.HK	China Fair Land Holdings Ltd
0171.HK	Silver Grant International Industries Ltd
0172.HK	Goldbond Group Holdings Ltd
0173.HK	K. Wah International Holdings Ltd
0174.HK	Kee Shing (Holdings) Ltd
0175.HK	Geely Automobile Holdings Ltd
0176.HK	United Pacific Industries Ltd
0177.HK	Jiangsu Expressway Co. Ltd
0178.HK	Sa Sa International Holdings Ltd
0179.HK	Johnson Electric Holdings Ltd
0180.HK	Kader Holdings Co. Ltd
0182.HK	China WindPower Group Ltd
0183.HK	CITIC International Financial Holdings Ltd
0184.HK	Keck Seng Investments (Hong Kong) Ltd
0185.HK	China Credit Holdings Ltd
0188.HK	SW Kingsway Capital Holdings Ltd
0189.HK	Dongyue Group Ltd
0190.HK	Hong Kong Construction (Holdings) Ltd
0191.HK	Lai Sun Garment (International) Ltd
0193.HK	Capital Estate Ltd
0194.HK	Liu Chong Hing Investment Ltd
0195.HK	Grand Hotel Holdings A
0196.HK	Honghua Group Ltd
0197.HK	Heng Tai Consumables Group Ltd
0198.HK	SMI Corporation Ltd
0199.HK	Macau Prime Properties Holdings Ltd
0200.HK	Melco International Development Ltd
0201.HK	Magnificent Estates Ltd
0202.HK	Interchina Holdings Co. Ltd
0205.HK	SEEC Media Group Ltd
0206.HK	ITC Corporation Ltd - Preference
0208.HK	Polytec Asset Holdings Ltd
0210.HK	Prime Success International Group Ltd
0212.HK	Nanyang Holdings Ltd
0213.HK	National Electronics Holdings Ltd
0214.HK	Asia Orient Holdings Ltd
0215.HK	china Fund The
0216.HK	Chinney Investments Ltd
0217.HK	China Chengtong Development Group Ltd
0218.HK	Shenyin Wanguo (H.K.) Ltd
0219.HK	Shun Ho Technology Holdings Ltd
0220.HK	Uni-President China Holdings Ltd
0221.HK	LeRoi Holdings Ltd
0222.HK	Min Xin Holdings Ltd
0225.HK	Pokfulam Development Co. Ltd
0226.HK	Lippo Ltd
0227.HK	First Shanghai Investments Ltd
0228.HK	Hon Po Group (Lobster King) Ltd
0229.HK	Raymond Industrial Ltd
0230.HK	ONFEM Holdings Ltd
0231.HK	Dynamic Global Holdings Ltd
0232.HK	CATIC International Holdings Ltd
0233.HK	Mingyuan Medicare Development Co. Ltd
0234.HK	New Century Group Hong Kong Ltd
0235.HK	China Strategic Holdings Ltd
0236.HK	San Miguel Brewery Hong Kong Ltd
0237.HK	Safety Godown Co. Ltd
0238.HK	Lei Shing Hong Ltd
0239.HK	Pak Fah Yeow International Ltd
0240.HK	Build King Holdings Ltd
0241.HK	CITIC 21CN Co. Ltd
0242.HK	Shun Tak Holdings Ltd
0243.HK	QPL International Holdings Ltd
0244.HK	Sincere Co. Ltd
0245.HK	Landune International Ltd
0248.HK	HKC International Holdings Ltd
0250.HK	Sino-i Technology Ltd
0251.HK	S E A Holdings Ltd
0253.HK	Shun Ho Resources Holdings Ltd
0254.HK	eCyberChina Holdings Ltd
0255.HK	Lung Kee (Bermuda) Holdings Ltd
0256.HK	China Haidian Holdings Ltd
0257.HK	China Everbright International Ltd
0258.HK	Tomson Group Ltd
0259.HK	Yeebo (International Holdings) Ltd
0260.HK	Sino Gas Group Ltd
0261.HK	CCT Tech International Ltd
0262.HK	Deson Development International Holdings Ltd
0263.HK	Poly Investments Holdings Ltd
0267.HK	CITIC Pacific Ltd
0268.HK	Kingdee International Software Group Co. Ltd
