Symbol	Description
0882.HK	Tianjin Development Holdings Ltd
0883.HK	CNOOC Ltd
0885.HK	Forefront International Holdings Ltd
0886.HK	Silver Base Group Holdings Ltd
0887.HK	Cable & Wireless Plc-us$10000 Bond 2003
0888.HK	RoadShow Holdings Ltd
0889.HK	Datronix Holdings Ltd
0891.HK	Trinity Ltd
0893.HK	China Vanadium Titano-Magnetite Mining Co Ltd
0894.HK	Man Yue International Holdings Ltd
0895.HK	
0896.HK	Hanison Construction Holdings Ltd
0897.HK	Wai Yuen Tong Medicine Holdings Ltd
0898.HK	Multifield International Holdings Ltd
0899.HK	Asia Resources Holdings Ltd
0901.HK	Radford Capital Investment Ltd
0902.HK	Huaneng Power International Inc
0903.HK	TPV Technology Ltd
0904.HK	China Green (Holdings) Ltd
0905.HK	Apex Capital Ltd
0906.HK	CPMC Holdings Ltd
0908.HK	Jiuzhou Development Co. Ltd
0910.HK	Good Fellow Group Ltd
0912.HK	Suga International Holdings Ltd
0914.HK	Anhui Conch Cement Co. Ltd
0915.HK	Linmark Group Ltd
0916.HK	China Longyuan Power
0917.HK	New World China Land Ltd
0918.HK	Takson Holdings Ltd
0919.HK	Modern Beauty Salon Holdings Ltd
0921.HK	Guangdong Kelon Electrical Holdings Co. Ltd
0925.HK	Peaktop International Holdings Ltd
0926.HK	Egana Jewellery & Pearls Ltd
0927.HK	Fujikon Industrial Holdings Ltd
0929.HK	IPE Group Ltd
0931.HK	Artel Solutions Group Holdings Ltd
0933.HK	First Sign International Holdings Ltd
0934.HK	Sinopec Kantons Holdings Ltd
0935.HK	
0936.HK	
0938.HK	Man Sang International Ltd
0939.HK	China Construction Bank Corporation
0941.HK	China Mobile Ltd
0943.HK	eForce Holdings Ltd
0945.HK	Manulife Financial Corporation
0947.HK	Province Of Ontario-7 1/4% N2005-100
0948.HK	Province Of Ontario-7 1/4% N2005-1000
0950.HK	
0951.HK	
0952.HK	Quam Ltd
0953.HK	Meike Ltd
0956.HK	Baden-wurttemberg L-finance Nv 1000b2003
0958.HK	Huaneng Renewables Ltd
0959.HK	A-Max Holdings Ltd
0960.HK	Longfor Properties Co Ltd
0966.HK	China Insurance International Holdings Co. Ltd
0967.HK	Citc Seoul Access Trust
0969.HK	Hua Lien International (Holding) Co. Ltd
0971.HK	Republic Of Argentina Usd1000 B2003
0973.HK	Province Of Ontario 61/4% Dm100000 N2004
0975.HK	Hk & Shanghai Banking Corp Hk$1000000n03
0976.HK	Chiho-Tiande Group Ltd
0980.HK	Lianhua Supermarket Holdings Co. Ltd
0981.HK	Semiconductor Manufacturing International Corporation
0982.HK	iOne Holdings Ltd
0983.HK	Shui On Construction and Materials Ltd
0984.HK	AEON Stores (Hong Kong) Co. Ltd
0985.HK	China Sci-Tech Holdings Ltd
0987.HK	J.I.C. Technology Co. Ltd
0989.HK	China Motion Telecom International Ltd
0990.HK	Theme International Holdings Ltd
0991.HK	Datang International Power Generation Co. Ltd
0992.HK	Lenovo Group Ltd
0993.HK	Simsen International Corporation Ltd
0995.HK	Anhui Expressway Co. Ltd
0996.HK	CASH Retail Management Group Ltd
0998.HK	China CITIC Bank Corp Ltd
0999.HK	I.T Ltd
1000.HK	Beijing Media Corporation Ltd
1002.HK	V.S. International Group Ltd
1004.HK	Rising Development Holdings Ltd
1005.HK	Matrix Holdings Ltd
1006.HK	China Corn Oil
1009.HK	
1010.HK	PacMOS Technologies Holdings Ltd
1011.HK	Regal Hotels International Holdings Ltd Warrants 2007
1013.HK	Plus Holdings Ltd
1019.HK	
1020.HK	
1021.HK	
1025.HK	Wumart Stores Inc
1026.HK	
1028.HK	
1029.HK	
1033.HK	Sinopec Yizheng Chemical Fibre Co. Ltd
1036.HK	Winsor Properties Holdings Ltd
1038.HK	Cheung Kong Infrastructure Holdings Ltd
1039.HK	
1043.HK	Coslight Technology International Group Ltd
1044.HK	Hengan International Group Co. Ltd
1045.HK	APT Satellite Holdings Ltd
1046.HK	Universe International Holdings Ltd
1047.HK	Ngai Hing Hong Co. Ltd
1049.HK	Celestial Asia Securities Holdings Ltd
1050.HK	Karrie International Holdings Ltd
1051.HK	Smart Rich Energy Finance (Holdings) Ltd
1052.HK	GZI Transport Ltd
1055.HK	China Southern Airlines Co. Ltd
1057.HK	
1058.HK	Guangdong Tannery Ltd
1059.HK	Kantone Holdings Ltd
1060.HK	Shanghai Allied Cement Ltd
1061.HK	Hinet Holdings W0302
1062.HK	New Capital International Investment Ltd
1064.HK	Zhong Hua International Holdings Ltd
1065.HK	Tianjin Capital Environmental Protection Co. Ltd
1066.HK	Shandong Weigao Group Medical Polymer Co Ltd
1068.HK	China Yurun Food Group Ltd
1069.HK	
1070.HK	TCL Multimedia Technology Holdings Ltd
1071.HK	Huadian Power International Corporation Ltd
1072.HK	Dongfang Electrical Machinery Co. Ltd
1073.HK	China Agrotech Holdings Ltd
1075.HK	Capinfo
1079.HK	
1080.HK	Shengli Pipe
1082.HK	
1083.HK	Panva Gas Holdings Ltd
1086.HK	Goodbaby International Holding
1087.HK	
1088.HK	China Shenhua Energy Co. Ltd
1089.HK	
1090.HK	
1091.HK	CITIC DAMENG
1093.HK	China Pharmaceutical Group Ltd
1096.HK	
1097.HK	i-CABLE Communications Ltd
1098.HK	Road King Infrastructure Ltd
1099.HK	Sinopharm Group Co Ltd
1100.HK	Mainland Headwear Holdings Ltd
1101.HK	China Rongsheng Heavy Industries Group Ltd
1102.HK	
1104.HK	Shanghai Merchants Holdings Ltd
1105.HK	Sing Tao News Corporation Ltd
1106.HK	
1108.HK	Luoyang Glass Co. Ltd
1109.HK	China Resources Land Ltd
1110.HK	China National Aviation Co. Ltd.
1111.HK	Liu Chong Hing Bank Ltd
1112.HK	
1114.HK	Brilliance China Automotive Holdings Ltd
1115.HK	Tibet 5100 Water Resources Holdings Ltd
1117.HK	China Modern Dairy Holdings
1118.HK	Golik Holdings Ltd
1121.HK	BAOFENGMODERN
1122.HK	Qingling Motors Co. Ltd
1123.HK	China-Hongkong Photo Products Holdings Ltd
1124.HK	Coastal Greenland Ltd
1125.HK	Lai Fung Holdings Ltd
1126.HK	Dream International Ltd
1127.HK	
1128.HK	Wynn Macau Ltd
1129.HK	Sky Hawk Computer Group Holdings Ltd
1131.HK	Kwong Hing International Holdings (Bermuda) Ltd
1132.HK	Golden Harvest Entertainment (Holdings) Ltd
1133.HK	Harbin Power Equipment Co. Ltd
1135.HK	Asia Satellite Telecommunications Holdings Ltd
1136.HK	TCC International Holdings Ltd
1137.HK	City Telecom (H.K.) Ltd
1138.HK	China Shipping Development Co. Ltd
1140.HK	Concepta Investments Ltd
1141.HK	Xin Corporation Ltd
1142.HK	Rontex International Holdings Ltd
1143.HK	
1146.HK	
1149.HK	Broad Intelligence Int'l Pharmaceutical Holdings Ltd
1150.HK	Milan Station Ltd
1151.HK	
1155.HK	Republic Of Finland 7 7/8% Notes 2004
1157.HK	Zoomlion
1161.HK	Water Oasis Group Ltd
1164.HK	Vital BioTech Holdings Ltd
1165.HK	
1166.HK	Solartech International Holdings Ltd
1168.HK	Sinolink Worldwide Holdings Ltd
1169.HK	Haier Electronics Group Co. Ltd
1170.HK	Kingmaker Footwear Holdings Ltd
1171.HK	Yanzhou Coal Mining Co. Ltd
1172.HK	Midas International Holdings Ltd
1173.HK	Veeko International Holdings Ltd
1174.HK	Pacific Andes International Holdings Ltd
1176.HK	Nam Fong International Holdings Ltd
1177.HK	Sino Biopharmaceutical Ltd
1178.HK	Vitop Bioenergy Holdings Ltd
1180.HK	LifeTec Group Ltd
1181.HK	
1185.HK	CASIL Telecommunications Holdings Ltd
1186.HK	Value Partners China Greenchip Fund Ltd
1187.HK	Pearl River Tyre (Holdings) Ltd
1188.HK	Compass Pacific Holdings Ltd
1189.HK	Wing On Travel (Holdings) Ltd
1191.HK	China Rich Holdings Ltd
1193.HK	China Resources Logic Ltd
1194.HK	China Force Oil & Grains Industrial Holdings Co. Ltd
1195.HK	Sinotronics Holdings Ltd
1196.HK	Cheong Ming Investments Ltd
1198.HK	Chitaly Holdings Ltd
1199.HK	COSCO Pacific Ltd
1200.HK	Midland Holdings Ltd
1201.HK	Kith Holdings Ltd
1202.HK	Chengdu PUTIAN Telecommunications Cable Co. Ltd
1203.HK	Guangnan (Holdings) Ltd
1205.HK	CITIC Resources Holdings Ltd
1207.HK	Shanghai Real Estate Ltd
1208.HK	Minmetals Resources Ltd
1210.HK	
1211.HK	BYD Co. Ltd
1212.HK	Lifestyle International Holdings Ltd
1213.HK	Mobicon Group Ltd
1215.HK	Guo Xin Group Ltd
1217.HK	Sino Technology Investments Co. Ltd
1218.HK	Easyknit International Holdings Ltd
1221.HK	Sino Hotels (Holdings) Ltd
1223.HK	Symphony Holdings Ltd
1224.HK	Qualipak International Holdings Ltd
1225.HK	Lerado Group (Holding) Co. Ltd
1226.HK	Garron International Ltd
1227.HK	China Financial Industry Investment Fund Ltd
1229.HK	Artfield Group Ltd
1230.HK	
1231.HK	Deutsche Bank AG - Nikkei 225 Index European Wts Jun 2007 A
1234.HK	China Lilang Ltd
1235.HK	Deutsche Bank AG - Nikkei 225 Index Euro Put Wts Jun 2007 B
1238.HK	Powerlong Real Estate Holdings Ltd
1239.HK	
1241.HK	
1251.HK	
1252.HK	Goldman Sachs SP (Asia) - Foxconn European Wts Mar 2007 A
1259.HK	Prince Frog International
1260.HK	J P Morgan Int'l Der. Ltd. - Foxconn European Wts Mar 2007
1262.HK	
1266.HK	
1269.HK	Macquarie Bank Ltd. - BOCHK European Warrants May 2007
1277.HK	BNP Paribas Arbit Issu B.V. - HSBC European Wts Apr 2007
1278.HK	
1280.HK	SGA Societe Generale Acceptance N.V. - CHALCO Eur Wt Apr 07B
1281.HK	SGA Societe Generale Acceptance N.V. - CK(H) Euro Wts Mar 07
1282.HK	
1288.HK	Agricultural Bank of China Ltd
1293.HK	
1298.HK	Techcomp (Holdings)
1299.HK	SGA Societe Generale Acceptance N.V. - HSI Euro Wts Mar 07 B
1300.HK	SGA Societe Generale Acceptance N.V. - HSBC Eur Wts Apr 2008
1303.HK	
1308.HK	Deutsche Bank AG - China Mobile European Warrants Mar 2007
1312.HK	
1313.HK	China Resources Cement Holdings Ltd
1315.HK	
1322.HK	J P Morgan Int'l Der. Ltd. - Sh Petrochem Euro Wts Mar 2007
1323.HK	
1329.HK	
1333.HK	BOCI Asia Ltd. - CNOOC European Warrants Jun 2007
1336.HK	New China Life Insurance Company
1338.HK	Macquarie Bank Ltd. - HSBC European Put Warrants Mar 2007
1361.HK	SGA Societe Generale Acceptance N.V. - PetCh Eur Wts Apr 08
1368.HK	Xtep International Holdings Ltd
1378.HK	SGA Societe Generale Acceptance N.V. - HSBC Eur Wts Apr 07 B
1380.HK	SGA Societe Generale Acceptance N.V. - SHK Ppt Eu Wt Apr 07A
1382.HK	Pacific Textiles Holdings Ltd
1383.HK	Hong Long Holdings Ltd
1386.HK	Walker Group Holdings Ltd
1387.HK	Renhe Commercial Holdings
1388.HK	Embry Holdings Ltd
1393.HK	Hidili Industry International Devt Ltd
1398.HK	Industrial and Commercial Bank of China Ltd
1399.HK	Scud Group Ltd
1428.HK	
1488.HK	
1555.HK	MIE Holdings Corporation
1600.HK	
1613.HK	
1618.HK	Metallurgical Corporation of China Ltd
1623.HK	
1628.HK	Ford Motor Credit Company 10 N0201
1633.HK	export-import Bank Of Korea The B0202
1638.HK	Kaisa Group
1663.HK	
1666.HK	Republic Of Italy 100n0205
1668.HK	China South City Holdings Ltd
1682.HK	
1685.HK	Boer Power Holdings Ltd
1688.HK	Alibaba.com
1700.HK	
1728.HK	Zhentong Auto Services Holding
1733.HK	Citibank Ag-hsbc Holdings Ec0111
1766.HK	Dresdner Bank-automotive Basket Ec0112
1768.HK	
1777.HK	Fantasia Holdings Group Co Ltd
1788.HK	
1798.HK	Datang Corp Renewable Power
1800.HK	China Communications Construction Co Ltd
1803.HK	
1808.HK	Tai-I International Holdings Ltd
1812.HK	CHENMING PAPER
1813.HK	KWG Property Holding Ltd
1818.HK	Zhaojin Mining Industry Co. Ltd
1822.HK	
1823.HK	Huayu Expressway
1828.HK	Dah Chong Hong Holding Ltd
1830.HK	
1831.HK	
1833.HK	Intime Department Store (Group) Company
1836.HK	Stella International Holdings Ltd
1838.HK	China Properties Group Ltd
1863.HK	Sijia Group Co Ltd
1866.HK	Neo-Neon Holdings Ltd
1868.HK	Neo-Neon Holdings Ltd
1878.HK	SouthGobi Energy Resources
1880.HK	Belle International Holdings
1881.HK	Regal Real Estate Investment Trust
1882.HK	Haitian International Holdings Ltd
1883.HK	CITIC 1616 Holdings Ltd
1886.HK	China Huiyuan Juice Group Ltd
1888.HK	Kingboard Laminates Holdings Ltd
1889.HK	Wuyi International Pharmaceutical Co. Ltd
1893.HK	China National Materials Company Ltd
1898.HK	China Coal Energy Co. Ltd
1899.HK	Xingda International Holdings Ltd
1900.HK	China ITS (Holdings) Co Ltd
1910.HK	Samsonite International SA
1913.HK	Prada SPA
1918.HK	
1919.HK	China COSCO Holdings Co. Ltd
1928.HK	Sands China Ltd
1929.HK	Chow Tai Fook
1938.HK	Chu Kong Pipe
1966.HK	China SCE PPT
1968.HK	Peak Sport
1972.HK	Swire Properties Ltd
1988.HK	Minsheng Bank Corp
1991.HK	TA Yang Group Holdings Ltd
1997.HK	Regent Manner International Holdings Ltd
1998.HK	Flyke International Holdings Ltd
1999.HK	Man Wah Holdings Limited
2000.HK	SIM Technology Group Ltd
2002.HK	China Sunshine Paper Holdings Company Ltd
2005.HK	Lijun International Pharmaceutical (Holding) Co. Ltd
2006.HK	Shanghai Jin Jiang Int'l Hotels (Group) Co. Ltd
2007.HK	Country Garden Holdings Company Ltd
2008.HK	Phoenix Satellite Television Holdings
2009.HK	BBMG Corp
2010.HK	RUINIAN
2011.HK	
2012.HK	
2018.HK	AAC Acoustic Technologies Holdings Inc.
2020.HK	Abn Amro Bank N.v.-hang Seng Bank C0104
2038.HK	Foxconn International Holdings Ltd
2083.HK	
2088.HK	Xiwang Sugar Holdings Co. Ltd
2098.HK	
2099.HK	
2118.HK	Credit Suisse - BOC HK Euro (AR) Wts Jan 2007
2128.HK	ABN AMRO Bank N.V. - CC Bank European Warrants Sep 2006 B
2133.HK	China Polymetallic Mining
2168.HK	UBS AG - Jiangxi Copper European Warrants Dec 2006
2188.HK	
2198.HK	SGA Societe Generale Acceptance N.V. - Ch Tel Eur Wt Oct 06
2200.HK	Hosa International
2208.HK	Macquarie Bank Ltd. - HSBC European Warrants Mar 2007 B
2218.HK	Credit Suisse-sinopec Corp Ec0111
2222.HK	J P Morgan Int'l Der. Ltd. - Ch Mobile Euro Put Wts May 2007
2228.HK	Credit Suisse-new World Dev Ec0112
2233.HK	West China Cement Ltd
2238.HK	BOCI Asia Ltd. - BOCL European Warrants Aug 2007
2266.HK	Macquarie Bank Ltd - CCB European Warrants Sep 2006
2268.HK	
2282.HK	Sga Societe Gen-china Mobile Ec0110
2288.HK	SGA Societe Generale Acceptance N.V. - Ping An Eur Wt Apr 07
2299.HK	Billion Industrial Holdings Lim
2300.HK	Vision Grande Group Holdings Ltd
2302.HK	United Metals Holdings Ltd
2307.HK	Kam Hing International Holdings Ltd
2310.HK	Kwang Sung Electronics H.K. Co. Ltd
2312.HK	China Finance Leasing
2313.HK	Shenzhou International Group Holdings Ltd
2314.HK	Lee & Man Paper Manufacturing Ltd
2317.HK	Vedan International (Holdings) Ltd
2318.HK	Ping An Insurance (Group) Co. of China Ltd
2319.HK	China Mengniu Dairy Co. Ltd
2320.HK	Hop Fung Group Holdings Ltd
2322.HK	Sam Woo Holdings Ltd
2324.HK	Sino Katalytics Investment Corporation
2327.HK	Jiwa Bio-Pharm Holdings Ltd
2328.HK	PICC Property and Casualty Co. Ltd
2331.HK	Li Ning Co. Ltd
2333.HK	Great Wall Motor Co. Ltd
2338.HK	Weichai Power Co. Ltd
2340.HK	Synergis Holdings Ltd
2341.HK	EcoGreen Fine Chemicals Group Ltd
2342.HK	Comba Telecom Systems Holdings Ltd
2343.HK	Pacific Basin Shipping Ltd
2345.HK	Shanghai Prime Machinery Co. Ltd
2348.HK	Dawnrays Pharmaceutical (Holdings) Ltd
2349.HK	Wah Yuen Holdings Ltd
2355.HK	Baoye Group Co. Ltd
2356.HK	Dah Sing Banking Group Ltd
2357.HK	AviChina Industry & Technology Co. Ltd
2362.HK	Signal Media and Communications Holdings Ltd
2366.HK	Qin Jia Yuan Media Services Co. Ltd
2369.HK	China Wireless Technologies Ltd
2371.HK	ZZNode Technologies Co. Ltd
2378.HK	
2379.HK	Zhongtian International Ltd
2380.HK	China Power International Development Ltd
2382.HK	Sunny Optical Technology (Group) Ltd
2383.HK	TOM Group Ltd
2388.HK	BOC Hong Kong (Holdings) Ltd
2389.HK	Wang Sing International Holdings Group Ltd
2398.HK	Good Friend International Holdings Inc.
2468.HK	Goldman Sachs SP (Asia) - N225 Index Euro Wts Mar 2007
2600.HK	Aluminum Corporation of China Ltd
2601.HK	China Pacific Insurance (Group) Co Ltd
2607.HK	
2618.HK	TCL Communication Technology Holdings Ltd
2623.HK	
2626.HK	Hunan Nonferrous Metals Corporation Ltd
2628.HK	China Life Insurance Co. Ltd
2662.HK	Fittec International Group Ltd
2678.HK	Texhong Textile Group Ltd
2688.HK	XinAo Gas Holdings Ltd
2689.HK	Nine Dragons Paper (Holdings) Ltd
2698.HK	Weiqiao Textile Co. Ltd
2722.HK	Chongqing Machinery & Electric Ltd
2727.HK	Shanghai Electric Group Co. Ltd
2728.HK	Shinhint Acoustic Link Holdings Ltd
2777.HK	Guangzhou R&F Properties Co. Ltd
2778.HK	Champion Real Estate Investment Trust
2788.HK	Yorkey Optical International (Cayman) Ltd
2789.HK	
2800.HK	Tracker Fund of Hong Kong
2801.HK	iShares MSCI China Tracker
2802.HK	iShares EM Asia
2803.HK	Lyxoretf Rafius
2806.HK	Lyxoretf Rafius
2809.HK	Lyxoretf CMDTY
2812.HK	Lyxoretf World
2813.HK	Lyxoretf Korea
2814.HK	Lyxoretf Japan
2815.HK	Lyxoretf Apej
2820.HK	Lyxoretf Emgmkt
2821.HK	ABF Pan Asia Bond Index Fund
2823.HK	iShares FTSE/Xinhua A50 China Tracker
2826.HK	Lyxoretf NASDAQ
2827.HK	Wise CSI200 EFT
2828.HK	Hang Seng H-Share Index ETF
2829.HK	iShares A Fin
2831.HK	Lyxoretf Russia
2833.HK	Hang Seng Index ETF
2836.HK	iShares India
2837.HK	Lyxoretf Taiwan
2838.HK	Hang Seng FTSE/Xinhua China 25 Index ETF
2840.HK	SPDR GOLD TRUST
2844.HK	
2846.HK	iShares CSI 300
2866.HK	China Shipping Container Lines Co. Ltd
2868.HK	Beijing Capital Land Ltd
2877.HK	China Shineway Pharmaceutical Group Ltd
2878.HK	Solomon Systech (International) Ltd
2880.HK	Dalian Port (PDA) Co. Ltd
2882.HK	Ocean Grand Chemicals Holdings Ltd
2883.HK	China Oilfield Services Ltd
2888.HK	Standard Chartered PLC
2889.HK	China Special Steel Holdings Co. Ltd
2898.HK	Long Far Pharmaceutical Holdings Ltd
2899.HK	Zijin Mining Group Co. Ltd
3300.HK	China Glass Holdings Ltd
3303.HK	Jutal Offshore Oil Services Ltd
3308.HK	Golden Eagle Retail Group Ltd
3311.HK	China State Construction International Holdings Ltd
3318.HK	China Flavors and Fragrances Co. Ltd
3322.HK	Win Hanverky Holdings Ltd
3323.HK	China National Building Material Co. Ltd
3328.HK	Bank of Communications Co. Ltd
3330.HK	Lingbao Gold Co. Ltd
3331.HK	Vinda International Holdings Ltd
3333.HK	Senyuan International Holdings Ltd
3335.HK	DBA Telecommunication (Asia) Holdings Ltd
3336.HK	Ju Teng International Holdings Ltd
3337.HK	Anton Oilfield Services Group
3339.HK	China Infrastructure Machinery Holdings Ltd
3344.HK	Addchance Holdings Ltd
3355.HK	Advanced Semiconductor Manufacturing Corporation Ltd -H Shs
3360.HK	
3366.HK	Huali Holdings (Group) Ltd
3368.HK	Parkson Retail Group Ltd
3377.HK	Sino-Ocean Land Holdings
3378.HK	Xiamen International Port Co. Ltd
3382.HK	Tianjin Port Development Holdings Ltd
3383.HK	Agile Property Holdings Ltd
3389.HK	Xinyu Hengdeli Holdings Ltd
3393.HK	Wasion Meters Group Ltd
3398.HK	China Ting Group Holdings Ltd
3399.HK	Guangdong Nan Yue Logistics Co. Ltd
3618.HK	Chongqing Rural Commerical Bank Ltd
3683.HK	CC Rabobank B.A. - Hutchison European Warrants Apr 2007
3688.HK	
3777.HK	
3778.HK	
3788.HK	
3800.HK	J P Morgan Int'l Der. Ltd - COSCO Pac European Wts Nov 2006
3808.HK	Sinotruk (Hong Kong) Ltd
3813.HK	ABN AMRO Bank N.V. - Sinopec Corp European Wts Nov 2006 C
3818.HK	China Dongxiang (Group) Ltd
3823.HK	Macquarie Bank Ltd - HSI European Warrants Nov 2006
3828.HK	Macquarie Bank Ltd - Denway European Warrants Nov 2006
3833.HK	SGA Societe Generale Acceptance N.V. - PetCh Eu Wt Nov 06 A
3838.HK	HK Bank - Jiangxi Copper European Warrants Jan 2007
3883.HK	KBC Fin Products Int'l Ltd - HSBC European Wts Dec 2006 C
3886.HK	Macquarie Bank Ltd - Ch Life European Warrants Dec 2007 B
3888.HK	KBC Fin Products Int'l Ltd - CCB European Warrants Dec 2006
3889.HK	KBC Fin Products Int'l Ltd - Ch Life Euro Wts Nov 2006 A
3898.HK	Zhuzhou CSR Times Electric Ltd
3899.HK	Enric Energy Equipment Holdings Ltd
3900.HK	Greentown China Holdings Ltd
3918.HK	Nagacorp Ltd
3933.HK	The United Laboratories International Holdings Ltd
3938.HK	Samling Global Ltd
3968.HK	China Merchants Bank Co
3983.HK	China Bluechemical Ltd
3988.HK	Bank of China Ltd
3989.HK	Hembly International Holdings Ltd
3993.HK	China Molybdenum Ltd
3998.HK	Bosideng International Holdings Ltd
3999.HK	DaChan Food (Asia) Ltd
6030.HK	
6210.HK	
6808.HK	Sun Art Retail Group Ltd
6813.HK	Capital Malls
6823.HK	
6828.HK	
6830.HK	
6837.HK	
6838.HK	
6868.HK	
6880.HK	
6883.HK	
8003.HK	T S Telecom Technologies
8005.HK	Yuxing Infotech Holdings
8006.HK	China.com Inc
8007.HK	Digitalhongkong.com
8008.HK	Sunevision Holdings
8009.HK	Imerchants
8011.HK	China Agrotech Holdings
8012.HK	Far Eastern Polychem Industries
8020.HK	Wanasports Holdings Ltd
8021.HK	WLS Holdings Ltd
8022.HK	Argos Enterprise (holdings)
8025.HK	Asian Information Resources (holding) Ltd
8026.HK	Prosten Technology Holdings
8028.HK	Timeless Software
8030.HK	Digitel Group
8031.HK	Kinetana International Biotech Phama Ltd
8032.HK	Greaterchina Technology Group
8033.HK	Vodatel Networks Holdings
8035.HK	Wah Sang Gas Holdings
8037.HK	LONGLIFE GROUP
8041.HK	Intcera High Tech Group
8043.HK	Era Information & Entertainment Ltd
8045.HK	Jiangsu Nandasoft Company
8046.HK	Tiger Tech Holdings Ltd
8049.HK	Jilin Prov Huinan Changlong Bio-pharma
8053.HK	A & K Educational Software Holdings
8055.HK	Prosticks International Holdings Ltd
8058.HK	Shandong Luoxin Pharmacy Stock Co  Ltd
8060.HK	Global Link Communications Holdings
8063.HK	Trasy Gold Ex
8068.HK	Smartech Digital Manufacturing Holdltd
8071.HK	E-silkroad Holdings
8075.HK	Rojam Entertainment Holdings
8076.HK	Sing Lee Software (group)
8078.HK	Emperor Entertainment Group
8079.HK	Rainbow International Holdings
8080.HK	Isteelasia.com
8081.HK	Computech Holdings
8083.HK	Syscan Technology Holdings
8085.HK	New Chinese Medicine Holdings Ltd
8086.HK	Epro
8088.HK	Techpacific.com
8089.HK	Proactive Technology Holdings
8090.HK	Evi Education Asia
8092.HK	Ite (holdings)
8095.HK	Beijing Beida Jade Bird Universal Sci
8096.HK	Thinsoft Holdings Ins
8102.HK	Shanghai Fudan Microelectronics Co Ltd
8103.HK	Systek Information Tech (holdings) Ltd
8108.HK	Grandmass Enterprise Solution
8111.HK	Soluteck Holdings
8112.HK	Focus Media
8116.HK	Neolink Cyber Technology (holding) Ltd
8117.HK	China Advance Holding Ltd
8119.HK	Thiz Technology Group
8122.HK	Cash Financial Services Group
8123.HK	StockMartnet Holdings Ltd
8126.HK	G A Holdings Ltd
8128.HK	IIN International Ltd
8130.HK	Milkyway Image Holdings Ltd
8131.HK	Abc Multiactive
8132.HK	Panva Gas Holdings
8137.HK	Jessica Publications Ltd
8153.HK	M21 Technology
8155.HK	Capital Publications Ltd
8156.HK	B&B Group Holdings Ltd
8158.HK	Bm Intelligence International
8159.HK	Glory Mark Hitech Holdings Ltd
8160.HK	Medination Inc
8161.HK	China Lotsynergy Holdings Ltd
8163.HK	Tradeeasy Holdings Ltd
8165.HK	Jian ePayment Systems Ltd
8167.HK	B&S Entertainment Holdings Ltd
8169.HK	Eco Tek Holdings Ltd
8171.HK	Quasar Communications Tech Holdings
8175.HK	Kanhan Technologies Group Ltd
8179.HK	AKuP International Holdings Ltd
8186.HK	Medical China Ltd
8189.HK	Tianjin TEDA Biomedical
8190.HK	Golding Soft Ltd
8192.HK	AGL Mediatech Holding Ltd
8197.HK	Northeast Tiger Pharmaceutical
8198.HK	Water Systems Ltd
8200.HK	Sau San Tong Holdings Ltd
8203.HK	Ultra Group Holdings Ltd
8206.HK	HK6 Holding Ltd
8207.HK	
8208.HK	Changmao Biochemical
8213.HK	Armitage Technologies Holdings Ltd
8215.HK	First Credit Holdings
8217.HK	CMA Logistics Ltd
8219.HK	
8220.HK	Vaso Digital International Holdings Ltd
8226.HK	Sonavox International Holdings Ltd
8231.HK	Shanhai Fudan Zhangjiang Bio
8235.HK	CCID Consulting Co Ltd
8236.HK	Powerleader Science & Tech
8239.HK	MP Logistics International Holdings Ltd
8243.HK	Dahe Media Co Ltd
8246.HK	
8251.HK	Shanghai Tonva Petrochemical Ltd
8256.HK	Netel Technology Holdings Ltd
8258.HK	Shaanxi Northwest New Technology
8265.HK	
8266.HK	Mobile Telecom NetworkHoldings Ltd
8269.HK	
8271.HK	Global Digital Creations Holdings
8279.HK	Megainto Holdings Ltd
8292.HK	HC International Inc
8295.HK	
8296.HK	Sino-Life Group Ltd
8301.HK	Shenzhen Mingwah Aohan
8306.HK	Sungreen International Holdings Ltd
8317.HK	Finet Group Ltd
8321.HK	
8329.HK	Shenzhen Neptunus Interlong Bio-Tech
8348.HK	Tianjin Binhai Teda Log
8351.HK	36.com Holdings W0207
