Symbol	Description
5FX.SI	New Wave Holdings Ltd.
5GB.SI	Asia Water Technology Ltd.
5GC.SI	Cna Group Ltd.
5GD.SI	Sunpower Group Ltd.
5GF.SI	Nico Steel Holdings Limited
5GI.SI	Interra Resources Limited
5GJ.SI	Ausgroup Limited
5GZ.SI	Aa Group Holdings Ltd.
5HC.SI	Ntegrator International Ltd
5HG.SI	Oniontech Limited
5HH.SI	Hln Technologies Limited
5HJ.SI	Cityneon Holdings Limited
5HT.SI	Communication Design Intl Ltd
5HV.SI	Metax Engineering Corp Limited
5HW.SI	Scorpio East Holdings Ltd.
5IA.SI	Advanced Holdings Ltd.
5IB.SI	Albedo Limited
5IC.SI	Sing Holdings Limited
5IE.SI	Lorenzo International Limited
5IF.SI	Natural Cool Holdings Limited
5IG.SI	Gallant Venture Ltd.
5IM.SI	Gmg Global Ltd
5JK.SI	Hiap Hoe Limited
5JS.SI	Indofood Agri Resources Ltd.
5JT.SI	Kinergy Ltd.
5JY.SI	Hup Soon Global Corp Ltd
5KH.SI	Travelite Holdings Ltd.
5KI.SI	Soup Restaurant Group Limited
5KK.SI	China Yongsheng Limited
5KT.SI	Fujian Zhenyun Plas Ind Co Ltd
5KU.SI	Eastern Holdings Ltd
5KX.SI	Elektromotive Group Limited
5LE.SI	Sitra Holdings (intl) Limited
5LU.SI	Rokko Holdings Ltd.
5LY.SI	Marco Polo Marine Ltd.
5MC.SI	Beng Kuang Marine Limited
5MD.SI	Soon Lian Holdings Limited
5ME.SI	Ezion Holdings Limited
5ML.SI	Old Chang Kee Ltd.
5MM.SI	Sky One Holdings Limited
5MQ.SI	Epicentre Holdings Limited
5MS.SI	Memstar Technology Ltd.
5MUW.SI	Vashion Group W130213
5MZ.SI	Kingsmen Creatives Ltd
5NDW.SI	Top Global Limited W130612
5NF.SI	Mencast Holdings Ltd.
5NG.SI	Healthway Medical Corp Ltd
5NH.SI	St. James Holdings Limited
5NK.SI	Artivision Technologies Ltd.
5NL.SI	Tritech Group Limited
5NV.SI	Chasen Holdings Limited
5OC.SI	Koyo International Limited
5OF.SI	Westminster Travel Limited
5OI.SI	Japan Foods Holding Ltd.
5OQ.SI	Teho International Inc Ltd.
5OR.SI	Heatec Jietong Holdings Ltd.
5OS.SI	Jlj Holdings Limited
5OT.SI	Singapore Medical Group Ltd
5OU.SI	China Environment Ltd.
5OX.SI	Mary Chia Holdings Limited
5OY.SI	Latitude Tree Intl Group Ltd.
5PC.SI	Goodland Group Limited
5PD.SI	Hengyang Petrochem Log Limited
5PF.SI	Jason Marine Group Limited
5PI.SI	Plato Capital Limited
5PL.SI	Sbi Offshore Limited
5PO.SI	Hiap Tong Corporation Ltd.
5PP.SI	Hafary Holdings Limited
5PVW.SI	Viking W130118
5QIB.SI	Eunetworks Group Cb130401
5QMW.SI	Tritech Group Limited W130408
5QQW.SI	Chasen Holdings W150506
5QR.SI	Mann Seng Metal Intl Limited
5QSW.SI	Lereno Bio-chem Ltd W150430
5QT.SI	China Enersave Ltd
5QY.SI	Net Pacific Fin Hldgs Ltd
5QZ.SI	Ccm Group Limited
5RA.SI	Asia-pacific Strategic Inv Ltd
5RBW.SI	Asia-pacific Strategic W140516
5RC.SI	Es Group (holdings) Limited
5RE.SI	Smartflex Holdings Ltd
5RF.SI	Friven & Co. Ltd.
5RHW.SI	Net Pacific Fin Hldgs W150721
5RJ.SI	We Holdings Ltd.
5RK.SI	Kreuz Holdings Limited
5RTW.SI	Old Chang Kee W130906
5RWW.SI	Top Global Limited W150929
5SGW.SI	Ntegrator Intl Ltd W131206
5SMW.SI	Pan Asian Holdings Ltd W130111
5SNW.SI	Pollux Properties Ltd. W130330
5SO.SI	Duty Free Internationallimited
5SR.SI	Zhongmin Baihui Retail Grp Ltd
5SS.SI	Harry's Holdings Ltd.
5STW.SI	Infinio Group Limited W130125
5SUW.SI	Duty Free Intl Ltd W160106
5SXW.SI	Goodland Group Limited W160217
5SY.SI	Chew's Group Limited
5TF.SI	Junma Tyre Cord Company Ltd
5TG.SI	800 Super Holdings Limited
5TH.SI	Malacca Trust Limited
5TI.SI	Kitchen Culture Holdings Ltd.
5TJ.SI	Far East Group Limited
5TN.SI	Iev Holdings Limited
5TP.SI	Cnmc Goldmine Holdings Limited
5TR.SI	Libra Group Limited
5TS.SI	Jk Tech Holdings Limited
5TT.SI	Keong Hong Holdings Limited
5TW.SI	Chaswood Resources Hldgs Ltd.
5TY.SI	Advanced Systems Automation
5UA.SI	Starland Holdings Limited
5UE.SI	Shc Capital Asia Limited
5UF.SI	Maxi-cash Fin Svcs Corp Ltd
5UGW.SI	Elektromotive Group W150710
5UJ.SI	Neo Group Limited
5UKW.SI	Renewable Energy Asia W150709
5UL.SI	Atlantic Navigation Hldg(s)ltd
5UN.SI	Sincap Group Limited
5UO.SI	Sysma Holdings Limited
5UQW.SI	Metal Component Engg W170908
5UU.SI	Jason Parquet Holdings Limited
5UV.SI	P99 Holdings Limited
5UX.SI	Oxley Holdings Limited
5UY.SI	Oxley Holdings Limited 100
5UZ.SI	Declout Limited
5VAR.SI	Oxley Holdings Limited R
5VBR.SI	Oxley Holdings Limited R100
5VC.SI	Kori Holdings Limited
5VDR.SI	Annica Holdings Limited R
600.SI	Hyflux Ltd
6SUS.SI	Ny05100n 200901
7PMS.SI	Ny07100x 220901
7QQS.SI	Nz07100s 270301
A01.SI	China Auto Corporation Ltd.
A02.SI	Achieva Limited
A03.SI	Asia Power Corp Ltd
A04.SI	Asl Marine Holdings Ltd
A05.SI	Avjennings Limited
A0G.SI	China Energy Limited
A0P.SI	Macarthurcook Prop Sec Fund
A0W.SI	Lyxor Commodities Crb Fund 10
A10.SI	Aem Holdings Ltd
A13.SI	Allied Technologies Limited
A14.SI	Armstrong Industrial Corp Ltd
A15.SI	Aussino Group Ltd
A17U.SI	Ascendas Real Estate Inv Trust
A18.SI	Aei Corporation Ltd
A23.SI	Auric Pacific Group Limited
A26.SI	Sinarmas Land Limited
A27.SI	Mdr Limited
A30.SI	Aspial Corporation Limited
A31.SI	Addvalue Technologies Ltd
A33.SI	Blumont Group Ltd.
A34.SI	Amara Holdings Ltd
A35.SI	Abf Spore Bond Index Fund Etf
A46.SI	Asia Pacific Breweries Ltd
A50.SI	Rowsley Ltd.
A52.SI	Annaik Limited
A53.SI	A-sonic Aerospace Limited
A54.SI	Adv Integrated Mfg Corp Ltd
A55.SI	Asia Enterprises Holding Ltd
A59.SI	Action Asia Limited
A68U.SI	Ascott Residence Trust
A69.SI	Azeus Systems Holdings Ltd.
A6F.SI	Unionmet (singapore) Limited
A75.SI	Ace Achieve Infocom Limited
A78.SI	Liongold Corp Ltd
A7RU.SI	Cityspring Infrastruct Trust
A7S.SI	Sunvic Chemical Holdings Ltd
A8J.SI	China Farm Equipment Limited
A9A.SI	Lyxor Msci Taiwan Index Fund10
A9B.SI	Lyxor Hang Seng Index Fund 10
AD7.SI	China Bearing (singapore) Ltd.
AD8.SI	Sino Techfibre Limited
AI1.SI	Texchem-pack Holdings (s) Ltd.
AJ1.SI	Sakari Resources Limited
AJ2.SI	Ouhua Energy Holdings Limited
AK3.SI	Swiber Holdings Limited
AM3.SI	Gems Tv Holdings Limited
AO9.SI	Lyxor Korea 10
AP4.SI	Riverstone Holdings Limited
AU8U.SI	Capitaretail China Trust
AV5.SI	Chemoil Energy Limited
AW9U.SI	First Real Estate Inv Trust
B03.SI	Brc Asia Limited
B07.SI	Next-gen Satellite Comm Ltd
B08.SI	British & Malayan Trustees Ltd
B0I.SI	Foreland Fabrictech Hlds Ltd
B0Z.SI	China Fishery Group Limited
B10.SI	Boardroom Limited
B16.SI	Guocoleisure Limited
B1N.SI	Delong Holdings Limited
B1ZU.SI	Rickmers Maritime
B20.SI	Biosensors Int'l Group Ltd.
B22.SI	Hankore Environment Tec Grpltd
B26.SI	Ban Leong Technologies Limited
B28.SI	Bonvests Holdings Ltd
B2F.SI	M1 Limited
B2W.SI	Total Access Comm Pub Co Ltd
B2X.SI	China Yuanbang Prop Hldgs Ltd
B32.SI	Bh Global Marine Limited
B3C.SI	China Print Power Group Ltd
B49.SI	World Precision Machinery Ltd
B58.SI	Banyan Tree Holdings Limited
B61.SI	Bukit Sembawang Estates Ltd
B64.SI	Berger International Limited
B66.SI	Pt Berlian Laju Tanker Tbk
B69.SI	Broadway Industrial Group Ltd
B73.SI	Global Investments Limited
B7K.SI	Sin Ghee Huat Corporation Ltd.
B9R.SI	China Xlx Fertiliser Ltd.
B9S.SI	Cosmosteel Holdings Limited
BN2.SI	Valuetronics Holdings Limited
BN4.SI	Keppel Corporation Limited
BR9.SI	China Hongxing Sports Limited
BS6.SI	Yangzijiang Shipbldg Hldgs Ltd
C02.SI	Compact Metal Industries Ltd
C03.SI	China Merchants Prop Devtcoltd
C04.SI	Casa Holdings Limited
C05.SI	Chemical Industries (f.e.) Ltd
C06.SI	Csc Holdings Ltd
C07.SI	Jardine Cycle & Carriage Ltd
C09.SI	City Developments Limited
C0Z.SI	China Hongcheng Holdings Ltd
C10.SI	Chosen Holdings Limited
C11.SI	Cei Contract Manufacturing Ltd
C13.SI	Ch Offshore Ltd
C14.SI	Cwt Limited
C20.SI	Cerebos Pacific Limited
C22.SI	China Merchants Hldgs(pacific)
c29.SI	Chip Eng Seng Corporation Ltd
C2J.SI	Sunmart Holdings Limited
C2PU.SI	Parkwaylife Reit
C31.SI	Capitaland Limited
C33.SI	Chuan Hup Holdings Limited
C35.SI	Creative Master Bermuda Ltd
C37.SI	China International Hldgs Ltd
C38U.SI	Capitamall Trust
C3T.SI	Uni-asia Finance Corporation
C41.SI	Cortina Holdings Limited
C4P.SI	Liang Huat Aluminium Ltd
C50.SI	Cheung Woh Technologies Ltd
C52.SI	Comfortdelgro Corporation Ltd
C56.SI	Celestial Nutrifoods Limited
C59.SI	China Flexible Pack Hldg Ltd
C60.SI	Amplefield Limited
C61U.SI	Capitacommercial Trust
C68.SI	Mirach Energy Limited
C6L.SI	Singapore Airlines Ltd
C6U.SI	Singapore Airlines Ltd 200
C70.SI	City Developments Ltd Nccps
C71.SI	China Paper Holdings Limited
C76.SI	Creative Technology Ltd
C86.SI	China Sun Biochem Tech Gp Co.
C8R.SI	Jiutian Chemical Group Limited
C92.SI	China Haida Ltd.
C9Q.SI	Sinostar Pec Holdings Limited
CC3.SI	Starhub Ltd
CH8.SI	China Sunsine Chem Hldgs Ltd.
CL7.SI	R H Energy Ltd.
CT1.SI	Avi-tech Electronics Limited
CW4.SI	Lyxor Japan (topix) Fund 10
CX5.SI	Yong Xin Intl Holdings Ltd.
CY6U.SI	Ascendas India Trust
CZ3.SI	Reyphon Agriceutical Limited
CZ4.SI	Dutech Holdings Limited
D01.SI	Dairy Farm Int'l Holdings Ltd
D03.SI	Del Monte Pacific Limited
D04.SI	Datapulse Technology Limited
D05.SI	Dbs Group Holdings Ltd
D07.SI	Spdr Djia Etf Trust
D08.SI	Devotion Energy Group Limited
D11.SI	Design Studio Furniture Mfrltd
D1R.SI	Ara Asset Management Limited
D2S.SI	Sc Global Developments Ltd
D2U.SI	Cacola Furniture Intl Limited
D2V.SI	Changtian Plastic & Chem Ltd
D38.SI	Cdw Holding Limited
D3W.SI	Sinotel Technologies Ltd.
D4N.SI	China New Town Devt Co Limited
D50.SI	China Great Land Holdings Ltd.
D5IU.SI	Lippo Malls Indo Retail Trust
D5N.SI	Z-obee Holdings Limited
D6U.SI	Dynamic Colours Limited
D79.SI	C&g Env Protect Hldgs Ltd
D8DU.SI	First Ship Lease Trust
D9UW.SI	Yongnam Holdings Ltd W121214
DC9.SI	Fuxing China Group Limited
DK2.SI	Fibrechem Technologies Ncps
DM0.SI	Psc Corporation Ltd
DT2.SI	China Oilfield Tec Svcs Grpltd
DU4.SI	Mermaid Maritime Public Co Ltd
DZ8U.SI	Saizen Real Estate Inv Trust
E02.SI	Eu Yan Sang International Ltd
E13.SI	Ellipsiz Ltd
E15.SI	Transcu Group Limited
E16.SI	Elec & Eltek Int Co Ltd
E17.SI	Excelpoint Technology Ltd
E18.SI	Ecs Holdings Limited
E23.SI	Europtronic Group Ltd
E25.SI	8telecom Intl Holdings Co Ltd
E27.SI	Eucon Holding Limited
E28.SI	Frencken Group Limited
E3B.SI	Wee Hur Holdings Ltd.
E5H.SI	Golden Agri-resources Ltd
E5P.SI	The Hour Glass Limited
E6A.SI	Yongmao Holdings Limited
E6E.SI	Sound Global Ltd.
E6R.SI	Samko Timber Limited
E8Z.SI	Roxy-pacific Holdings Limited
E90.SI	China Sky Chem Fibre Co. Ltd.
E91.SI	Courage Marine Group Limited
E94.SI	Lizhong Wheel Group Ltd.
E9A.SI	Li Heng Chem Fibre Tech Ltd
E9L.SI	Joyas International Hldgs Ltd
EB5.SI	First Resources Limited
EB7.SI	Ktl Global Limited
EE6.SI	Mercator Lines (singapore) Ltd
EG0.SI	Jes International Holdings Ltd
EH5.SI	United Overseas Australia Ltd
EP4.SI	China Animal Healthcare Ltd.
ER0.SI	Ksh Holdings Limited
ES3.SI	Sti Etf
F01.SI	Freight Links Express Holdings
F03.SI	Food Empire Holdings Limited
F06.SI	Sunmoon Food Company Limited
F07.SI	Fds Networks Group Ltd
F10.SI	F J Benjamin Holdings Ltd
F11.SI	Fung Choi Media Group Limited
F12.SI	Fibrechem Technologies Limited
F13.SI	Fu Yu Corporation Ltd
F17.SI	Guocoland Limited
F18.SI	Full Apex (holdings) Limited
F1E.SI	Low Keng Huat (singapore) Ltd
F20.SI	Federal Int(2000) Ltd
F22.SI	Fischer Tech Ltd
F25U.SI	Fortune Real Estate Inv Trust
F2X.SI	China Taisan Tech Grp Hldgsltd
F31.SI	Fragrance Group Limited
F34.SI	Wilmar International Limited
F3EU.SI	Indiabulls Properties Invtrust
F3V.SI	Sino Construction Limited
F4B.SI	Ocbc Bk 5.1%ncps 100
F6D.SI	China Fibretech Ltd.
F83.SI	Cosco Corporation (s) Ltd
F86.SI	Cougar Logistics Corpn Ltd
F99.SI	Fraser And Neave Limited
F9D.SI	Boustead Singapore Limited
F9M.SI	Kencana Agri Limited
FC6.SI	Lyxor India Nifty Etf 10
FO8.SI	Eratat Lifestyle Limited
FP1.SI	Dapai Intl Hldg Co. Ltd.
FQ7.SI	Jasper Investments Limited
FQ8.SI	China Sports Intl Limited
FV2.SI	Hisaka Holdings Ltd.
G05.SI	Goodpack Limited
G07.SI	Great Eastern Hldgs Ltd
G08.SI	Gp Batteries Int Ltd
G09.SI	Gul Technologies Singapore Ltd
G0I.SI	Nam Lee Pressed Metal Inds Ltd
G10.SI	Yuexiu Property Co Limited
G11.SI	Global Tech (hldgs) Limited
G13.SI	Genting Singapore Plc
G18.SI	Grp Ltd
G1K.SI	Lyxor Etf Msci Asia Apex 50 10
G1M.SI	Lyxor Etf Msci Malaysia 10
G1N.SI	Lyxor Etf Msci India 10
G1O.SI	Lyxor Commodities Crbnonenergy
G20.SI	Gp Industries Limited
G21.SI	Guangzhao Ind Forest Biogrpltd
G31.SI	Global Testing Corporation Ltd
G33.SI	Guthrie Gts Ltd
G3B.SI	Dbs Singapore Sti Etf
G41.SI	G. K. Goh Holdings Limited
G4F.SI	Otto Marine Limited
G50.SI	Grand Banks Yachts Limited
G54.SI	China Essence Group Ltd.
G5X.SI	Anwell Technologies Limited
G77.SI	Digiland International Ltd
G86.SI	China Milk Products Group Ltd
G92.SI	China Aviation Oil(s) Corp Ltd
GB4W.SI	Tat Hong Holdings Ltd W130802
GD2W.SI	China Auto Corp Ltd. W130806
GG0.SI	Ocbccapcorp(2008) 5.1%ncps 100
GG7.SI	Hai Leck Holdings Limited
GH3.SI	Asia Fashion Holdings Limited
GJ8.SI	Dukang Distillers Hldgs Ltd
GL8.SI	Uob 5.05%ncps 100
GR2W.SI	Second Chance Prop W130927
GU5.SI	China Kunda Tech Holdings Ltd
GZ9.SI	Stx Pan Ocean Co. Ltd.
H02.SI	Haw Par Corp Ltd
H06.SI	Hor Kew Corporation Limited
H07.SI	Stamford Land Corporation Ltd
H12.SI	Hotel Royal Ltd
H13.SI	Ho Bee Investment Limited
H15.SI	Hotel Properties Ltd
H16.SI	Huan Hsin Holdings Ltd
H17.SI	Hi-p International Limited
H18.SI	Hotel Grand Central Ltd
H19.SI	Hwa Hong Corporation Limited
H1M.SI	Lyxor Etf Eastern Europe 10
H1N.SI	Lyxor Etf Msci Emerging Mkt 10
H1O.SI	Lyxoretf Msci Em Latin America
H1P.SI	Lyxor Etf Msci World 10
H1Q.SI	Lyxor Etf Nasdaq100 10
H20.SI	Hoe Leong Corporation Ltd.
H22.SI	Hong Leong Asia Ltd.
H23.SI	Eunetworks Group Limited
H27.SI	Hlh Group Limited
H30.SI	Hong Fok Corporation Ltd
H49.SI	Pan Pacific Hotels Grp Limited
H64.SI	Htl Int'l Holdings Limited
H73.SI	Hupsteel Ltd
H78.SI	Hongkong Land Holdings Limited
H7YB.SI	Wbl Corporation 2.5%cb140610
H80.SI	Hongwei Technologies Limited
HD6.SI	Dbxt S&p 500 Short Etf 10
HD7.SI	Dbxt Msci Taiwan Etf 10
HD8.SI	Dbxt Ft China 25 Etf 10
HD9.SI	Dbxt Ftse Vietnam Etf 10
HE0.SI	Dbxt S&p Cnx Nifty Etf 10
HI3B.SI	United Engineers 1% Cb140303
i03.SI	Informatics Education Ltd.
i04.SI	Xpress Holdings Ltd
i06.SI	Intraco Limited
i07.SI	Isdn Holdings Limited
i11.SI	Ipco Int'l Limited
I12.SI	Ipc Corporation Limited
i15.SI	Isetan (singapore) Ltd
I17.SI	Ishares S&p500 Ivv 10
I19.SI	Ishares Msci Singapore Ews 100
I21.SI	Ishares Dj Us Tech Iyw 10
i26.SI	Inno-pacific Holdings Ltd
i49.SI	Ifs Capital Limited
I4FW.SI	Global Yellow Pages W140910
I4U.SI	China Gaoxian Fibrefab Hldgltd
I54.SI	Fabchem China Limited
I5H.SI	Great Group Holdings Limited
I85.SI	Hengxin Technology Ltd.
I98.SI	Is Msci India 100
I9T.SI	Ziwo Holdings Ltd.
IH0.SI	Dbxt Euro Stoxx 50 Etf 10
IH1.SI	Dbxt Msci Asia Ex Japan Etf 10
IH2.SI	Dbxt Msci Korea Etf 10
IH3.SI	Dbxt Msci Europe Etf 10
IH4.SI	Dbxt Usd Money Market Etf 5
IW5.SI	Seroja Investments Limited
IX2.SI	Pec Ltd.
J03.SI	Jadason Enterprises Ltd
J0M.SI	Dbxt Msci Emerging Mkts Etf 10
J0N.SI	Dbxt Msci Emg Mkts Asia Etf 10
J0O.SI	Dbxt Msci Brazil Trn Etf 10
J0P.SI	Dbxt Msci World Trn Etf 10
J0Q.SI	Dbxt Msci Pacific Exjap Etf 10
J0R.SI	Dbxt Msci Russia Cap 25 Etf 10
J0S.SI	Dbxt Dblci-oy Balanced Etf 5
J10.SI	Jaya Holdings Ltd
J11.SI	Jacks International Limited
J16.SI	Jel Corporation (holdings) Ltd
J17.SI	Jackspeed Corporation Limited
J18.SI	China Jishan Holdings Limited
J19.SI	Jets Technics Intl Hldgs Ltd
J2T.SI	Hock Lian Seng Holdings Ltd
J36.SI	Jardine Matheson Hldgs Ltd
J37.SI	Jardine Strategic Hldgs Ltd
J69U.SI	Frasers Centrepoint Trust
J6WW.SI	Enviro-hub Holdings Ltdw121229
J6YW.SI	Okp Holdings Limited W130105
J74.SI	Pteris Global Limited
J7SW.SI	Eratat Lifestyle Ltd Ew130112
J7X.SI	Tiger Airways Holdings Limited
J85.SI	Cdl Hospitality Trusts
J8O.SI	Ryobi Kiso Holdings Ltd.
J91U.SI	Cambridge Industrial Trust
JA9.SI	Changjiang Fertilizer Hlgs Ltd
JC5.SI	Lyxor Etf Msci Europe 10
JC6.SI	Lyxor Etf Dow Jones Ia 10
JC7.SI	Lyxor Etf Russia 10
JK8.SI	United Sse 50 China Etf
JS5.SI	Sino Grandness Food Ind Gp Ltd
JS8.SI	Capitamalls Asia Limited
k01.SI	K1 Ventures Limited
K03.SI	Khong Guan Flour Milling Ltd
K04.SI	Kian Ann Engineering Ltd
K07.SI	Kxd Digital Entertainment Ltd
K11.SI	Keppel Tele & Tran
K14.SI	Kingboard Copper Foil Hdgs Ltd
K17.SI	Keppel Land Limited
K1Q.SI	Ttj Holdings Limited
K22.SI	Kian Ho Bearings Ltd
K29.SI	Karin Technology Hldgs Limited
K2LU.SI	Cache Logistics Trust
K2M.SI	Debao Property Development Ltd
K2N.SI	China Minzhong Food Corp Ltd
K2P.SI	Tiong Seng Holdings Limited
K3CD.SI	China Eastern Air Adr 10
K3DD.SI	Sinopec Petrochemical Adr 10
K3ED.SI	China Telecom Adr 10
K3FD.SI	Huaneng Power Intl Adr 10
K3GD.SI	Yanzhou Coal Mining Adr 10
K3HD.SI	Aluminum Corp Of China Adr 10
K3ID.SI	China Unicom Hk Ltd Adr 10
K3JD.SI	Changyou.com Adr 10
K3KD.SI	Trina Solar Adr 10
K3MD.SI	Netease.com Adr 10
K3ND.SI	Suntech Power Adr 10
K3OD.SI	Petrochina Adr 10
K3PD.SI	Chinamobile Adr 10
K3QD.SI	Mindray Medical Intl Adr 10
K3RD.SI	Ctrip.com International Adr 10
K3SD.SI	Baidu.com Adr 10
K3TD.SI	China Southern Air Adr 10
K3UD.SI	Home Inns & Hotels Adr 10
K6J.SI	Global Palm Resources Hlgs Ltd
K6K.SI	Dbxt S&p500 Etf 10
K6S.SI	Prudential Plc
K6Y.SI	Dbxt Aud Ssa Bonds Etf 5
K71U.SI	K-reit Asia
K75.SI	Koh Brothers Group Limited
K8BW.SI	Cosco Corp Mbl Ecw130103
K8KW.SI	Dbs Mbl Ecw130103
KF4.SI	Sin Heng Heavy Machinery Ltd
KF5.SI	Dbxt Usd Ig Infl Treas Etf 5
KF6.SI	Dbxt Iboxx Sov Euro Etf 5
KF7.SI	Dbxt Iboxx Us Treas Etf 5
KF8.SI	Dbxt Msci Usa Etf 10
KI3.SI	Hu An Cable Holdings Ltd.
KJ5.SI	Bbr Holdings (s) Ltd
KJ6.SI	Dbxt Sora Etf 5
KJ7.SI	Dbxt Msci Indonesia Etf 10
KJ9.SI	Cogent Holdings Limited
KR7W.SI	Tee International Ltd W130228
KT2.SI	Dbxt Iboxx Korea Etf 5
KT3.SI	Dbxt Stoxx Glob Div 100 Etf 10
KT4.SI	Dbxt Csi300 Etf 10
KT7W.SI	Upp Holdings W130301
KT8U.SI	Frasers Commercial Trust Cppu
KT9.SI	Qingmei Group Holdings Limited
KU3.SI	Golden Ocean Group Limited
KV4.SI	Dbxt Iboxx Singapore Etf 5
KV5.SI	Dbxt Aud Money Market Etf 5
KV6.SI	Dbxt Aud Mm Etf Usd 5
KV7.SI	Dbxt Aud Mm Etf Sgd 5
KV8.SI	Dbxt Eonia Tr Etf Usd 5
L02.SI	Manhattan Resources Limited
L03.SI	Lian Beng Group Ltd
L05.SI	Lafe Corporation Limited
L07Z.SI	Lta $500m4.17%n160510
L08.SI	Lion Asiapac Ltd
L09.SI	Lung Kee (bermuda) Hldgs Ltd
L0OW.SI	M Development W130802
L0QW.SI	Genting Sin Mbl Ecw130603
L0SW.SI	Capitaland Mbl Ecw130603
L10.SI	Lht Holdings Limited
L15.SI	Lindeteves-jacoberg Ltd
L17.SI	Lion Teck Chiang Ltd
L18.SI	Hl Global Enterprises Limited
